grid,gmres_tol,outer_iters,total_inner_iters,walltime_s,walltime_min,walltime_max
16×16×10,0.5,7,26,0.1328633000011905,0.1304292999993777,0.48272759999963455
16×16×10,0.2,3,12,0.05141580000054091,0.04910029999882681,0.053998999999748776
16×16×10,0.1,3,13,0.05370580000089831,0.052421500000491505,0.05521210000006249
16×16×10,0.05,3,15,0.056817699998646276,0.0546360000007553,0.061438700002327096
16×16×10,0.02,3,16,0.05541059999814024,0.054067299999587703,0.05587789999844972
16×16×10,0.01,2,10,0.03836500000033993,0.03725260000283015,0.04023640000013984
16×16×10,0.005,2,10,0.04088889999911771,0.039409400000295136,0.041106099997705314
16×16×10,0.001,2,13,0.045971100000315346,0.04058369999984279,0.04601819999879808
32×32×20,0.5,5,23,0.680038999998942,0.6477666999999201,0.7496587999994517
32×32×20,0.2,4,20,0.5398382999992464,0.5196071000027587,0.6116346000017074
32×32×20,0.1,3,16,0.4208187000003818,0.41826059999948484,0.5068586000015785
32×32×20,0.05,3,16,0.40153660000214586,0.3766539999996894,0.4213208000001032
32×32×20,0.02,2,10,0.29577810000046156,0.26316439999936847,0.32509420000133105
32×32×20,0.01,2,11,0.2551662999976543,0.2517826999974204,0.26552470000024186
32×32×20,0.005,2,12,0.27761309999914374,0.27569669999866164,0.2852889999994659
32×32×20,0.001,2,16,0.2872164000000339,0.2762126999987231,0.36334659999920405
64×64×40,0.5,6,30,9.499917799999821,9.219222399999126,9.892543999998452
64×64×40,0.2,3,20,4.880350100000214,4.857178800000838,4.945202099999733
64×64×40,0.1,3,17,4.611776599998848,4.573053000000073,4.673362600002292
64×64×40,0.05,3,24,5.120255399997404,5.055268799998885,5.13189599999896
64×64×40,0.02,2,15,3.338925099997141,3.3371356000025116,3.3415698999997403
64×64×40,0.01,2,15,3.349369800002023,3.2362180999989505,3.3530162000024575
64×64×40,0.005,2,18,3.4901624000012816,3.4831327000028978,3.5583038999975543
64×64×40,0.001,2,21,3.630543700000999,3.6110404999999446,3.6453080999999656
