grid,max_h_factor,outer_iters,total_inner_iters,walltime_s,walltime_min,walltime_max
16×16×10,1.05,1,24,0.02928020000035758,0.029220699998404598,0.03639570000086678
16×16×10,1.1,1,24,0.028251699997781543,0.027922799999942072,0.030549200000677956
16×16×10,1.2,1,24,0.0320995000001858,0.02696040000228095,0.032301200000802055
16×16×10,1.3,1,24,0.02558849999695667,0.023992500002350425,0.029757899999822257
16×16×10,1.5,1,24,0.023651399998925626,0.023578700001962716,0.03046850000100676
16×16×10,2.0,1,24,0.026091100000485312,0.023528499998064945,0.026141500002268003
16×16×10,5.0,1,24,0.02526429999852553,0.02374950000012177,0.02643520000128774
32×32×20,1.05,1,44,0.20555009999952745,0.1991572000006272,0.21191370000087772
32×32×20,1.1,1,44,0.23544609999953536,0.20980090000011842,0.2775202000011632
32×32×20,1.2,1,44,0.20322419999865815,0.1853644999973767,0.23513509999975213
32×32×20,1.3,1,44,0.20946140000160085,0.20366939999803435,0.21284139999988838
32×32×20,1.5,1,44,0.20874860000185436,0.20695989999876474,0.2403916000002937
32×32×20,2.0,1,44,0.20404000000053202,0.1962429000013799,0.22518789999958244
32×32×20,5.0,1,44,0.21375699999771314,0.20348589999775868,0.21930060000158846
64×64×40,1.05,1,82,4.670006100001046,4.651069400002598,5.003790499999013
64×64×40,1.1,1,82,4.763309000001755,4.624285799996869,4.913112700000056
64×64×40,1.2,1,82,4.566042800001014,4.553696200000559,4.67709990000003
64×64×40,1.3,1,82,4.57471390000137,4.55371279999963,4.7082096000012825
64×64×40,1.5,1,82,4.629140899996855,4.586497000000236,4.696893200001796
64×64×40,2.0,1,82,4.715847300001769,4.612920200001099,4.799460199999885
64×64×40,5.0,1,82,4.503591799999413,4.468044299999747,4.5062799000006635
